Neighborhoods,ATM,Afghan Restaurant,Airport,Airport Terminal,American Restaurant,Andhra Restaurant,Arcade,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Auto Garage,Auto Workshop,Automotive Shop,BBQ Joint,Badminton Court,Bagel Shop,Bakery,Bank,Bar,Basketball Court,Bed & Breakfast,Beer Bar,Beer Garden,Bengali Restaurant,Big Box Store,Bike Shop,Bistro,Boarding House,Bookstore,Botanical Garden,Boutique,Bowling Alley,Boxing Gym,Breakfast Spot,Brewery,Bridge,Bubble Tea Shop,Buffet,Building,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Café,Candy Store,Capitol Building,Caribbean Restaurant,Castle,Chaat Place,Chettinad Restaurant,Chinese Restaurant,Chocolate Shop,Clothing Store,Cocktail Bar,Coffee Shop,Comfort Food Restaurant,Concert Hall,Construction & Landscaping,Convenience Store,Cosmetics Shop,Coworking Space,Creperie,Cricket Ground,Cupcake Shop,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Dive Bar,Donut Shop,Dry Cleaner,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Event Space,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Financial or Legal Service,Flea Market,Food,Food & Drink Shop,Food Court,Food Service,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Furniture / Home Store,Gaming Cafe,Garden,Garden Center,Gas Station,Gastropub,General Entertainment,German Restaurant,Golf Course,Gourmet Shop,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Halal Restaurant,Health Food Store,Hill,Historic Site,History Museum,Hockey Arena,Hookah Bar,Hospital,Hotel,Hotel Bar,Hotel Pool,Hyderabadi Restaurant,Ice Cream Shop,Indian Chinese Restaurant,Indian Restaurant,Indian Sweet Shop,Indie Movie Theater,Intersection,Italian Restaurant,Japanese Restaurant,Jewelry Store,Juice Bar,Kebab Restaurant,Kerala Restaurant,Kids Store,Korean Restaurant,Lake,Light Rail Station,Lighthouse,Liquor Store,Lounge,Maharashtrian Restaurant,Market,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant,Middle Eastern Restaurant,Miscellaneous Shop,Mobile Phone Shop,Modern European Restaurant,Monument / Landmark,Motorcycle Shop,Movie Theater,Moving Target,Multicuisine Indian Restaurant,Multiplex,Music Store,Music Venue,Neighborhood,Nightclub,Noodle House,North Indian Restaurant,Office,Other Great Outdoors,Outlet Store,Paintball Field,Pakistani Restaurant,Paper / Office Supplies Store,Park,Parsi Restaurant,Performing Arts Venue,Pharmacy,Pizza Place,Planetarium,Platform,Playground,Plaza,Pool,Pool Hall,Pub,Punjabi Restaurant,Racecourse,Racetrack,Rajasthani Restaurant,Recreation Center,Resort,Restaurant,Road,Roof Deck,Salad Place,Salon / Barbershop,Sandwich Place,Scenic Lookout,Science Museum,Seafood Restaurant,Shop & Service,Shopping Mall,Shopping Plaza,Smoke Shop,Snack Place,Soccer Field,Soccer Stadium,South Indian Restaurant,Southern / Soul Food Restaurant,Spa,Sporting Goods Shop,Sports Bar,Stadium,Steakhouse,Supermarket,Sushi Restaurant,Szechuan Restaurant,Tea Room,Tech Startup,Tex-Mex Restaurant,Thai Restaurant,Theater,Tibetan Restaurant,Toll Booth,Tourist Information Center,Toy / Game Store,Track Stadium,Trail,Train Station,Travel & Transport,Turkish Restaurant,Udupi Restaurant,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Wine Bar,Wine Shop,Women's Store,Yoga Studio
Kalyan Nagar,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0.052631579,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105263158,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.026315789,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0,0,0,0,0.026315789,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0.105263158,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0.052631579,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0.052631579,0,0,0,0,0.026315789,0,0,0.026315789,0,0,0,0,0.052631579,0,0,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026315789,0,0,0,0,0,0,0,0,0
Kamakshipalya,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130434783,0,0.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kammanahalli,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044776119,0,0,0.059701493,0,0,0,0,0,0,0,0,0,0.029850746,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0.044776119,0,0,0,0,0,0,0.029850746,0,0,0,0.029850746,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0.014925373,0,0,0,0.029850746,0,0.014925373,0,0,0.059701493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0.014925373,0,0,0,0,0,0,0,0.014925373,0,0,0,0.029850746,0.014925373,0.149253731,0,0,0,0.014925373,0,0,0.014925373,0,0.029850746,0,0.044776119,0,0,0,0,0.044776119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0.029850746,0,0,0,0,0,0,0.014925373,0,0,0,0,0,0,0.014925373,0,0,0,0,0.014925373,0,0,0,0,0.014925373,0,0,0.014925373,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0.014925373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014925373,0,0,0,0,0
Kempe Gowda I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0.027777778,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0.027777778,0,0,0,0,0.027777778,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0.027777778,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0.138888889,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0.055555556,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0.027777778,0,0,0.027777778,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0
Kengeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0
Koramangala,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0.04,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0.07,0.01,0,0,0,0,0.01,0.03,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0.01,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.08,0,0.17,0,0.01,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01
Kothnur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Krishnarajapuram,0,0,0,0,0.015151515,0,0,0,0,0,0.045454545,0,0,0.015151515,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0.03030303,0,0.015151515,0,0,0,0,0,0,0.015151515,0.015151515,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0.060606061,0,0.060606061,0,0,0,0,0,0,0.015151515,0,0,0,0,0.045454545,0,0.015151515,0,0,0.03030303,0,0,0,0.015151515,0,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0.015151515,0,0,0,0,0.015151515,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0.015151515,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0.015151515,0,0,0.03030303,0,0,0,0,0.015151515,0,0.015151515,0,0,0,0,0,0,0,0.015151515,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0.03030303,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0.015151515,0,0,0,0
Kumaraswamy Layout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0,0,0,0,0,0.032258065,0,0,0,0.032258065,0,0,0,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.161290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0.032258065,0,0,0.032258065,0,0,0,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lingarajapuram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0.069444444,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0.069444444,0,0,0,0,0,0,0.055555556,0,0,0,0.013888889,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0.013888889,0,0,0.069444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0.041666667,0,0.166666667,0,0,0,0,0,0,0.013888889,0,0.027777778,0,0.013888889,0,0,0,0,0.013888889,0,0,0.013888889,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0.013888889,0.013888889,0.013888889,0,0,0,0.013888889,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0.013888889,0,0.027777778,0,0,0.041666667,0,0,0,0,0.013888889,0,0,0,0.013888889,0,0,0,0.041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M G Road,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madiwala,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0.08,0.01,0,0,0,0,0.01,0.04,0,0.01,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.06,0,0.16,0,0.01,0,0.04,0,0,0.01,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0,0,0,0.01
Madiwala Lake,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.04,0,0.02,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.24,0,0.01,0,0.02,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0.02,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0
Mahadevapura,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0.022222222,0,0,0,0,0,0,0.022222222,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0.022222222,0,0.066666667,0,0,0,0.022222222,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0.044444444,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0.133333333,0,0,0.022222222,0.022222222,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044444444,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222,0,0,0,0,0,0,0,0,0,0
Mahalakshmi Layout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030769231,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0.046153846,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0.015384615,0,0.030769231,0,0.046153846,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0.030769231,0,0,0,0.030769231,0,0,0,0,0.046153846,0,0,0,0,0,0.015384615,0,0,0,0.015384615,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0.015384615,0.015384615,0,0,0,0,0,0,0,0,0,0.030769231,0,0,0,0.015384615,0,0.030769231,0,0.015384615,0,0.076923077,0,0,0.015384615,0,0,0,0,0,0,0,0,0.076923077,0,0,0.015384615,0,0,0.015384615,0,0,0,0,0,0.015384615,0.030769231,0,0,0.046153846,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0.030769231,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0.030769231,0,0,0,0,0,0,0,0.015384615,0,0.015384615,0,0,0.030769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0,0,0,0,0,0,0,0,0.030769231,0,0,0,0,0
Malleswaram,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0.03,0,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0.03,0,0,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0,0.09,0,0,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0.01,0.04,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0.02,0,0,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0.01,0,0,0.01,0,0,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0,0.01,0,0.02,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0
Marathahalli,0,0,0,0,0,0.027777778,0,0,0,0,0.027777778,0,0,0,0,0.027777778,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0.055555556,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0.027777778,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0.013888889,0.041666667,0,0.222222222,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055555556,0,0,0,0,0,0,0,0,0,0.027777778,0,0.013888889,0,0.027777778,0,0,0,0.013888889,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0.013888889,0,0,0,0.013888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027777778,0,0,0,0,0
Mathikere,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0.015151515,0,0.03030303,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0.075757576,0,0,0,0.015151515,0,0,0,0,0.015151515,0,0,0,0,0,0,0.045454545,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0.075757576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0.121212121,0,0.196969697,0,0,0,0.03030303,0,0,0.015151515,0,0.015151515,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0.03030303,0,0,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0.015151515,0,0,0.015151515,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015151515,0,0,0,0,0,0,0,0,0,0
Murphy Town,0,0,0,0,0,0.021978022,0,0,0,0,0.021978022,0.010989011,0,0,0,0.010989011,0,0,0.010989011,0,0.021978022,0,0,0,0,0,0,0,0,0,0,0,0.021978022,0,0,0.010989011,0.021978022,0,0,0,0,0,0.010989011,0,0,0,0,0.010989011,0,0.065934066,0.010989011,0,0,0,0,0,0.010989011,0.010989011,0.032967033,0.010989011,0.010989011,0,0,0,0,0,0,0,0,0.021978022,0,0,0.021978022,0.021978022,0,0.021978022,0,0.010989011,0,0,0.010989011,0,0,0,0,0,0.010989011,0,0,0,0,0.010989011,0,0,0,0,0.010989011,0,0,0.010989011,0,0,0,0,0,0.010989011,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0,0,0.043956044,0.010989011,0,0,0.032967033,0,0.065934066,0,0,0,0.021978022,0.010989011,0,0,0,0,0,0,0,0,0,0,0.021978022,0,0,0.010989011,0,0,0.021978022,0,0,0,0.010989011,0,0,0,0,0,0,0,0.010989011,0,0.010989011,0,0,0,0,0.010989011,0,0,0,0,0,0,0,0.010989011,0,0,0,0,0,0,0.043956044,0,0,0,0,0,0,0.021978022,0,0,0,0,0,0,0,0.010989011,0,0.010989011,0,0,0,0,0,0,0,0.010989011,0,0,0,0.010989011,0,0,0,0.021978022,0,0.010989011,0.010989011,0,0,0,0,0,0,0,0,0,0,0,0,0.021978022,0,0,0.010989011,0
Mysore Road Satellite Bus Station,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.075,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0.05,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.025,0,0,0.05,0,0,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0.025,0.025,0,0,0.025,0,0,0,0,0
Mysore Road metro station,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.038461538,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0,0,0.038461538,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0.076923077,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.038461538,0,0,0,0.038461538,0,0,0.038461538,0,0,0,0.038461538,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
